                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4055,                 3.8691,                  3.512,                 0.0142,                0.01724,                0.00408,                0.00095,                 2.7752,                 4.8572,                 3.1083,             0.00047511,             0.00047511,             0.00047511
                      2,                 2.4916,                  2.938,                 2.6246,                0.34826,                0.17816,                0.00968,                0.00199,                 2.3552,                 4.5992,                 2.7286,             0.00090435,             0.00090435,             0.00090435
                      3,                 2.1512,                 2.4501,                 2.2643,                0.03022,                0.35632,                0.02954,                0.01593,                 2.2189,                 5.0414,                 2.5396,              0.0012864,              0.0012864,              0.0012864
                      4,                 1.9909,                  2.225,                 2.0959,                0.01161,                0.18966,                0.01014,                0.00488,                 1.9653,                 4.6063,                 2.2651,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.8943,                 2.0407,                 1.9902,                0.01228,                0.16667,                0.01337,                0.00521,                 2.0277,                 4.8005,                  2.259,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.8325,                 1.9282,                 1.9081,                0.03568,                0.16667,                0.02995,                0.01605,                 1.9115,                  5.156,                 2.1108,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.7845,                 1.8212,                 1.8535,                0.01979,                0.16667,                0.02528,                0.01463,                 1.8322,                 5.3664,                 2.1019,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.7412,                 1.7403,                 1.8095,                0.01363,                0.16667,                0.02475,                0.01578,                 1.9826,                   5.15,                 2.2125,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.6821,                  1.655,                 1.7502,                 0.0283,                0.16667,                0.02597,                0.01654,                 1.8995,                 4.9938,                 2.1317,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.6636,                 1.6062,                 1.7305,                0.01064,                0.16667,                0.01489,                0.00739,                  1.832,                 5.0722,                  2.033,             0.00086312,             0.00086312,             0.00086312
